
 START: 1/5 

Iteration 36 completed | Delta llk: 0.333809 | Time: 0.52 sec
Iteration 37 completed | Delta llk: 0.305585 | Time: 0.51 sec
Iteration 38 completed | Delta llk: 0.284084 | Time: 0.50 sec
Iteration 39 completed | Delta llk: 0.265839 | Time: 0.54 sec
Iteration 40 completed | Delta llk: 0.250759 | Time: 0.47 sec
Iteration 41 completed | Delta llk: 0.235588 | Time: 0.47 sec
Iteration 42 completed | Delta llk: 0.221839 | Time: 0.47 sec
Iteration 43 completed | Delta llk: 0.209256 | Time: 0.46 sec
Iteration 44 completed | Delta llk: 0.199099 | Time: 0.45 sec
Iteration 45 completed | Delta llk: 0.189615 | Time: 0.47 sec
Iteration 46 completed | Delta llk: 0.180666 | Time: 0.39 sec
Iteration 47 completed | Delta llk: 0.165445 | Time: 0.44 sec
Iteration 48 completed | Delta llk: 0.157608 | Time: 0.47 sec
Iteration 49 completed | Delta llk: 0.153390 | Time: 0.51 sec
Iteration 50 completed | Delta llk: 0.144410 | Time: 0.46 sec
Iteration 51 completed | Delta llk: 0.138151 | Time: 0.46 sec
Iteration 52 completed | Delta llk: 0.132366 | Time: 0.50 sec
Iteration 53 completed | Delta llk: 0.127039 | Time: 0.48 sec
Iteration 54 completed | Delta llk: 0.122008 | Time: 0.47 sec
Iteration 55 completed | Delta llk: 0.117377 | Time: 0.48 sec
Iteration 56 completed | Delta llk: 0.118143 | Time: 0.48 sec
Iteration 57 completed | Delta llk: 0.109444 | Time: 0.51 sec
Iteration 58 completed | Delta llk: 0.104372 | Time: 0.50 sec
Iteration 59 completed | Delta llk: 0.100842 | Time: 0.49 sec
Iteration 60 completed | Delta llk: 0.099174 | Time: 0.52 sec
Iteration 61 completed | Delta llk: 0.095827 | Time: 0.48 sec
Iteration 62 completed | Delta llk: 0.091851 | Time: 0.53 sec
Iteration 63 completed | Delta llk: 0.089041 | Time: 0.49 sec
Iteration 64 completed | Delta llk: 0.086370 | Time: 0.51 sec
Iteration 65 completed | Delta llk: 0.083801 | Time: 0.49 sec
Iteration 66 completed | Delta llk: 0.081394 | Time: 0.47 sec
Iteration 67 completed | Delta llk: 0.079096 | Time: 0.46 sec
Iteration 68 completed | Delta llk: 0.076928 | Time: 0.46 sec
Iteration 69 completed | Delta llk: 0.074809 | Time: 0.44 sec
Iteration 70 completed | Delta llk: 0.072786 | Time: 0.42 sec
Iteration 71 completed | Delta llk: 0.070859 | Time: 0.43 sec
Iteration 72 completed | Delta llk: 0.068471 | Time: 0.39 sec
Iteration 73 completed | Delta llk: -5.060188 | Time: 0.37 sec
Iteration 74 completed | Delta llk: 4.342449 | Time: 0.65 sec
Iteration 75 completed | Delta llk: 0.623993 | Time: 0.74 sec
Iteration 76 completed | Delta llk: 0.197799 | Time: 0.41 sec
Iteration 77 completed | Delta llk: 0.112468 | Time: 0.37 sec
Iteration 78 completed | Delta llk: 0.088180 | Time: 0.41 sec
Iteration 79 completed | Delta llk: 0.074720 | Time: 0.43 sec
Iteration 80 completed | Delta llk: 0.070893 | Time: 0.43 sec
Iteration 81 completed | Delta llk: 0.065750 | Time: 0.43 sec
Iteration 82 completed | Delta llk: 0.061749 | Time: 0.44 sec
Iteration 83 completed | Delta llk: 0.058775 | Time: 0.44 sec
Iteration 84 completed | Delta llk: 0.056396 | Time: 0.47 sec
Iteration 85 completed | Delta llk: 0.052811 | Time: 0.48 sec
Iteration 86 completed | Delta llk: 0.052551 | Time: 0.46 sec
Iteration 87 completed | Delta llk: 0.051032 | Time: 0.45 sec
Iteration 88 completed | Delta llk: 0.049788 | Time: 0.44 sec
Iteration 89 completed | Delta llk: 0.048626 | Time: 0.51 sec
Iteration 90 completed | Delta llk: 0.047585 | Time: 0.43 sec
Iteration 91 completed | Delta llk: 0.046626 | Time: 0.43 sec
Iteration 92 completed | Delta llk: 0.045745 | Time: 0.44 sec
Iteration 93 completed | Delta llk: 0.044921 | Time: 0.44 sec
Iteration 94 completed | Delta llk: 0.043902 | Time: 0.44 sec
Iteration 95 completed | Delta llk: 0.043439 | Time: 0.44 sec
Iteration 96 completed | Delta llk: 0.042752 | Time: 0.44 sec
Iteration 97 completed | Delta llk: 0.042100 | Time: 0.45 sec
Iteration 98 completed | Delta llk: 0.041482 | Time: 0.45 sec
Iteration 99 completed | Delta llk: 0.040908 | Time: 0.44 sec
Iteration 100 completed | Delta llk: 0.040350 | Time: 0.44 sec
Iteration 101 completed | Delta llk: 0.039821 | Time: 0.45 sec
Iteration 102 completed | Delta llk: -5.153930 | Time: 0.40 sec
Iteration 103 completed | Delta llk: 4.339314 | Time: 0.74 sec
Iteration 104 completed | Delta llk: 0.600329 | Time: 0.68 sec
Iteration 105 completed | Delta llk: 0.189801 | Time: 0.45 sec
Iteration 106 completed | Delta llk: 0.101431 | Time: 0.38 sec
Iteration 107 completed | Delta llk: 0.072092 | Time: 0.42 sec
Iteration 108 completed | Delta llk: 0.058502 | Time: 0.44 sec
Iteration 109 completed | Delta llk: 0.050589 | Time: 0.42 sec
Iteration 110 completed | Delta llk: 0.045516 | Time: 0.44 sec
Iteration 111 completed | Delta llk: 0.042273 | Time: 0.46 sec
Iteration 112 completed | Delta llk: 0.040042 | Time: 0.46 sec
Iteration 113 completed | Delta llk: 0.038559 | Time: 0.43 sec
Iteration 114 completed | Delta llk: 0.037469 | Time: 0.47 sec
Iteration 115 completed | Delta llk: 0.036621 | Time: 0.47 sec
Iteration 116 completed | Delta llk: 0.036158 | Time: 0.49 sec
Iteration 117 completed | Delta llk: 0.035710 | Time: 0.53 sec
Iteration 118 completed | Delta llk: 0.035338 | Time: 0.48 sec
Iteration 119 completed | Delta llk: 0.035030 | Time: 0.49 sec
Iteration 120 completed | Delta llk: 0.034766 | Time: 0.47 sec
Iteration 121 completed | Delta llk: 0.034533 | Time: 0.47 sec
Iteration 122 completed | Delta llk: 0.034324 | Time: 0.48 sec
Iteration 123 completed | Delta llk: 0.034134 | Time: 0.47 sec
Iteration 124 completed | Delta llk: 0.033958 | Time: 0.48 sec
